scheme_id,scheme_article,scheme_name,scheme_description
I.1,,Single payment scheme – Title III,"This was introduced by the 2003 reform of the Common Agricultural Policy and is the scheme by which farmers received a decoupled single payment.  Prior to the 2003 reform, a farmer could receive a number of specific direct payments, each one associated with a particular line of production of crop and livestock (cereals, milk, beef…). The 2003 reform incorporated these specific direct payments into a single payment and decoupled this payment from the production of crops and livestock."
I.2,,"Single area payment scheme – Title V, Chapter 2","Due to limited administrative capacities and the absence of historical data, new Member States (i.e. those that joined the European Union in 2004 and 2007) were granted the possibility of applying the single area payment scheme instead of applying the standard direct payment schemes.  The single area payment scheme provided for a flat-rate decoupled area payment paid for eligible agricultural land and replaced almost all payments granted in other than new Member States. "
I.3,,"Aid for sugar beet and cane producers – Title IV, Chapter 1, Section 7","This was a restructuring aid provided for initially in Article 3 of Regulation (EC) No 320/2006 establishing a temporary scheme for the restructuring of the sugar industry in the Community and amending Council Regulation (EC) No 1290/2005 on the financing of the common agricultural policy for at least 50 % of the sugar quota fixed on 20 February 2006 in Annex III to Council Regulation (EC) No 318/2006 on the common organization of the markets in the sugar sector and foreseen in Section 7 of Title IV, Chapter 1 of Council Regulation (EC) No 73/2009 for sugar beet and cane producers. The aid shall be granted for a maximum of five consecutive years up to marketing year 2013/2014."
I.4,,"Beef and veal payments –Title IV, Chapter 1, Section 11
","Suckler cow premium: coupled payment granted to the farmer keeping for at least six consecutive months from the date of the aid application suckler cows and heifers in the proportion of respectively at least 60% and no more than 40% of the number of animals applied for the payment. The premium amounts to EUR 200 per eligible animal. A national additional premium up to maximum EUR 50 per animal may be paid by the Member State.
Special premium: coupled premium granted to farmers holding male bovine animals for fattening for a period of two months from the date of the aid application. The premium amounts to EUR 210 once in the life of each bull from the age of 9 months and EUR 150 twice in the life of each steer at 9 and 21 months. 
Slaughtering premium for calves and other bovines than calves: coupled payment granted to farmer on the slaughter or the export to a third country of eligible animals held for at least 2 months on the farm. The premium amounts to EUR 80 per eligible bulls, steers, cows and heifers from the age of 8 months and EUR 50 per calves of more than one and less than eight months old and of a carcass weight up to 185 kg."
I.5,,"Premiums in the sheep meat and goat meat sector –  Title IV, Chapter 1, Section 10","Ewe and goat premiums: coupled payments granted to farmer for maintaining ewes or she-goats, under certain conditions, for at least 100 days from the last day of the period for submitting the aid applications. The premiums amount to EUR 21 per ewe reared for production of meat and EUR 16.8 per ewe for production of milk or per she-goat. 
Supplementary premium: coupled payment granted to the farmer in areas where sheep and goat production is a traditional activity or contributes significantly to rural economy, or practising transhumance, under certain conditions. The premium amounts to EUR 7 per ewe and per sheep/goat."
I.6,,"Crop-specific payment for cotton – Title IV, Chapter 1 Section 6","The crop-specific payment for cotton is a coupled payment granted per hectare of eligible area of cotton. The area is only eligible if it is located on agricultural land authorised by the Member State for cotton production, sown with varieties authorized by the Member State and actually harvested under normal growing conditions. The aid for farmers who are members of an approved inter branch organisation is increased by an amount of EUR 2.  "
I.7,,"Specific support – Title III, Chapter 5 ","Member States may grant specific support to farmers for: 1) specific types of farming which are important for the protection or enhancement of the environment, 2) improving the quality of agricultural products, 3) improving the marketing of agricultural products, 4) practicing enhanced animal welfare standards, 5) specific agricultural activities entailing additional agri-environment benefits, 6) to address specific disadvantages in the dairy, beef and veal, sheep meat and goat meat and rice sectors in certain areas or for specific types of farming, 7) in areas subject to restructuring and or development programmes, 8) in the form of contributions to crop and plant insurance premiums, 9) by way of mutual funds for animal and plant diseases or environmental incidents. They may use up to 10% (3.5% in the case of coupled payments) of their national ceiling for financing that support."
II.1,,"Basic payment scheme - Title III, Sections 1, 2, 3 and 5","The basic payment scheme (BPS) is an area payment decoupled from production and compulsory to Member States, operated on the basis of payment entitlements allocated to farmers. The basic payment scheme (along with the single area payment scheme) is part of the basic payment, which is a precondition for a farmer to have access to other direct payment schemes, except for voluntary coupled support."
II.2,,Single area payment scheme – Art. 36 ,The single area payment scheme (SAPS) is a decoupled area payment paid for eligible hectares declared by a farmer. Member States applying the single area payment scheme in 2014 may decide to continue to apply the basic payment in the form of a single area payment until 31 December 2020. 
II.3,,"Redistributive payment – Title III, Chapter  2 ","The redistributive payment is a decoupled area payment aimed at supporting smaller farms by providing them an additional support on their first hectares declared under the basic payment. The redistributive payment is optional for Member States. Where applied, up to 30% of their national ceiling can be used to finance this payment. Payment per hectare cannot exceed 65% of national or, where relevant, regional average payment per hectare and is granted up to the first 30 hectares, or where relevant, up to a higher threshold, but not exceeding the national average farm size out in Annex VIII of Regulation (EU) No 1307/2013. "
II.4,,"Payment for agricultural practices beneficial for the climate and the environment  Title III, Chapter 3","Greening: in addition to the basic payment scheme (BPS) / single area payment scheme (SAPS), farmers receive a decoupled area payment per hectare for respecting the three agricultural practices in favour of the climate and the environment:
crop diversification; 
maintenance of permanent grassland;
having ecological focus area on the agricultural area."
II.5,,"Payment for areas with natural constraints Title III, Chapter 4","The payment to areas with natural constraints is an area based decoupled payment, provided on top of the basic payment to farmers who are situated in areas with natural constraints. This payment is optional for the Member States. Where applied, up to 5% of the annual national ceiling set out in Annex II can be used to finance this payment."
II.6,,"Payment for young farmers – Title III, Chapter 5  ","Payment for young farmers is a decoupled area payment granted on top of the basic payment to young farmers (of no more than 40 years of age who are setting up for the first time an agricultural holding as head of the holding, or who have already set up such a holding during the five years preceding the first application to the scheme). This payment is compulsory for Member States and up to 2% of the national ceiling set out in Annex II can be used to finance the payment. A young farmer can receive such payment for a maximum period of five years following the setting up. It is for Member States to decide on the calculation method applied for this payment and depending on that choice the payment for young farmers is granted either as a per hectare top-up or as a lump sum per holding. "
II.7,,"Voluntary coupled support – Title IV, Chapter 1 ","The support targets specific sectors and productions. Member States may decide to use up to 8% (by derogation up to 13% or more upon Commission's approval) of their national ceiling for direct payments, + 2% for support to protein crops, for financing coupled support to sectors or regions where specific types of farming or specific agricultural sectors that are particularly important for economic, social or environmental reasons undergo certain difficulties. "
II.8,,"Crop-specific payment for cotton –  Title IV, Chapter 2","The crop-specific payment for cotton is a coupled payment granted per hectare of eligible area of cotton. The area is only eligible if it is located on agricultural land authorised by the Member State for cotton production, sown with varieties authorized by the Member State and actually harvested under normal growing conditions. The aid for farmers who are members of an approved inter branch organisation is increased by an amount of EUR 2.  "
II.9,,Small farmers scheme – Title V ,"The small farmers scheme (SFS) is a simplified support scheme for small farmers with reduced administrative burden, established either as a lump-sum per holding or as an amount due taking into account what a farmer could receive outside the scheme either in the year 2015 or annually. The level of payment is limited to a maximum of EUR 1 250 (a lower maximum can be fixed by the Member States)."
II.10,,Reimbursement of appropriations carried over from financial  year N-1 (financial year in which financial discipline adjustment apply) - Art.26(5) of Regulation (EU) No 1306/2013  ,Reimbursements in financial year N in accordance with Article 26(5) of Regulation (EU) No 1306/2013 of appropriations carried over from financial year N-1 proportionate to the amount of the financial discipline adjustment (including the yearly reduction of Direct payments for the establishment of the reserve for crisis in the agricultural rector).
III.1,,"Public Intervention Chapter I, Section 2 ","When market prices for certain agricultural products fall below a predetermined level, the public authorities of the Member States may intervene to stabilise the market by purchasing surplus supplies, which may then be stored until the market price increases.  The entities that must be published are the ones which benefit from the aid, in other words the entities from which the product has been bought."
III.2,,"Aid for private storage Chapter I, Section 3 ",Aid granted to temporarily support producers of certain products regarding the cost of private storage. 
III.3,,"School fruit,  vegetables and  milk scheme Chapter II, Section 1 ","Aid provided to support the distribution of agricultural products to children in nursery, primary and secondary schools with the objective to increase their fruit, vegetables and milk consumption and improve their eating habits. "
III.4,,"Aid in the fruit and vegetables sector Chapter II, Section 3 ","Growers are encouraged to join producer organisations (POs). These receive support for implementing operational programmes, based on a national strategy. Aid is also granted to mitigate income fluctuation from crises. Support is offered for crisis prevention/management measures under operational programmes, i.e.: product withdrawal, green harvesting/non-harvesting, promotion/communication tools, training, harvest insurance, help to secure bank loans and cover administrative costs of setting up mutual funds (farmer-owned stabilisation funds)."
III.5,,"Support in the wine sector Chapter II,  Section 4","Various aids granted in order to ensure market balance and increase the competitiveness of European wine: aid for promotion of wine on third country markets and information on responsible consumption of wine and the EU system of PDO/PGI; co-financing of costs for restructuring and conversion of vineyards, for investments in wineries and in marketing facilities as well as for innovation; support for green harvesting, mutual funds, harvest insurance and by-product distillation.."
III.6,,"Support in the olive oil and tables olives sector Chapter II, Section 2 ","Support granted  to the three-year work programmes to be drawn up by producer organisations, associations of producer organisations or interbranch organisations in one or more of the following areas:
market follow-up and  management in the olive oil and table olives sector; 
the improvement of the environmental impact of olive cultivation; 
the improvement of the competitiveness of olive cultivation through modernisation; 
the improvement of the production quality of olive oil and table olives; 
the traceability system, the certification and protection of the quality of olive oil and table olives; 
the dissemination of information on measures carried out by producer organisations, associations of producer organisations or interbranch organisations to improve the quality of  olive oil and table olives. "
